"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"C9xP19N259","P19N259","281128742","AHY","Unit_2","105",16106
"D01xL19N010d","L19N010d",NA,"6","Unit_4","78",54524
"D01xP19N048","P19N048","278172151","SY","Unit_2","32",43506
"D01xP19N189","P19N189","281128722","12","Unit_2","103",42131
"D01xP19N297","P19N297","278172317","12","Unit_4","94",27762
"D01xP19N506","P19N506","281128780","12","Unit_2","50",22162
"D02xL19N012b","L19N012b",NA,"6","Unit_4","87",34636
"D02xP19N057","P19N057","232146953","ASY","Unit_1","360",21009
"D02xP19N304","P19N304","278172433","12","Turkey_Hill","106",29642
"D02xP19N451","P19N451","281128753","15","Unit_2","62",34425
"D02xP19N514","P19N514","281128776","15","Unit_2","119",83
"D03xP19N068","P19N068","278172228","SY","Unit_1","370",2944
"D03xP19N273","P19N273","278172305","12","Unit_2","94",2085
"D03xP19N354","P19N354","278172444","12","Unit_4","80",16608
"D03xP19N460","P19N460","281128768","12","Unit_2","34",7261
"D04xL19N018b","L19N018b",NA,"6","Unit_4","61",13735
"D04xP19N082","P19N082","278172158","SY","Unit_2","105",2820
"D04xP19N285","P19N285","281128739","15","Unit_2","39",18178
